Constantin Chiriţă,,,,,,,,,,,,,,
Cireşarii,,,,,,,,,,,,,,
Vol. 1 - Cavalerii florii de cireş,,,,,,,,,,,,,,
CAPITOLUL I.,,,,,,,,,,,,,,
"De aproape cincizeci de ani, orologiul cel mare din turnul şcolii supraveghea cu cadranele sale cele patru puncte cardinale; de aproape cincizeci de ani, acele sale enorme indicau fără greşeală ora exactă. Rareori, iarna, în timpul viscolelor, zăpada cotropitoare oprea mersul lor pe cadranul dinspre soare răsare, iar primăvara, hulubii sau ciorile sau alte zburătoare, în zbenguiala lor, grăbeau mersul vreunui minutar. Dar de fiecare dată, moş Timofte Păstrăvanu, paznicul şcolii, care-şi începuse meseria aceasta încă de pe vremea instalării marelui ornic, şi care, aşa cum spuneau elevii din clasele superioare, şi-o va încheia doar o dată cu oprirea definitivă a ceasului, se urca în turn, scutura scripeţii uriaşi şi începea să învârtească o manivelă cât oiştea carului. După ce asculta câteva clipe tic-tacul tunător şi clătina din cap a încuviinţare, moş Timofte scotea de la brâu o cutie rotundă de metal, cândva strălucitoare, o cutie mare cât o farfurie, o proptea pe genunchi şi o pocnea cu pumnul în creştet. Ca la comandă, cutia lepăda un capac pentru a dezveli un cadran de ceas cu aceleaşi disciplinate cifre romane care împodobeau feţele orologiului din turn. Paznicul scruta cu atenţie ora exactă şi potrivea întocmai acele „Gângălăului”, pentru că aşa numea dânsul ceasul din turn. O dată treaba terminată, închidea cu câteva zdravene lovituri de pumn capacul „Ţângălăului”, pentru că aşa numea dânsul ceasul de la brâu. E de prisos să amintim că lanţul care purta dihania aceea de metal ar fi putut struni un cogeamite dulău ciobănesc. Apoi, în mers agale, bătrânul cobora scările, ieşea în curte, se oprea în mijlocul ei, citea cu voce tare ora exactă de pe ceasul din turn şi, dacă era în timpul lecţiilor, făcea iute o socoteală, tot cu voce tare, cam cât mai rămâne până la recreaţie. Şi chiar dacă mai rămâneau patruzeci de minute până când trebuia să sune clopoţelul, moş Timofte nu mai cerceta nici Gângălăul, nici Ţângălăul. Putea să fie împovărat de treburi, putea să fie asaltat de griji, la secunda exactă, clopoţelul suna, în mâna lui, sfârşitul orei.",,,,,,,,,,,,,,
"N-am spune însă adevărul întreg, aşa cum ne-am propus, dacă n-am adăuga că erau totuşi câteva zile pe an în care moş Timofte nu mai respecta ora exactă. (O să ne ierte bătrânul această indiscreţie, mai ales că ea rotunjeşte adevărul; şi până acum n-am întâlnit un al doilea om care să fie în relaţii atât de cinstite şi de fidele cu adevărul ca moş Timofte.) Prin urmare, erau câteva zile pe an în care paznicul şcolii se afla în conflict cu ora exactă. Erau zilele de dinaintea vacanţei, ultimele zile de şcoală. În acele zile, de câte ori dădea semnalul de recreaţie, moş Timofte greşea cu regularitate. Suna clopoţelul cu câteva minute înainte de ora obişnuită. Vreo cinci-şase directori foarte meticuloşi i-au făcut, la vremea lor, observaţii pentru această neregulă ciudată, dar moş Timofte s-a mulţumit să ridice din umeri şi să spună, cu o voce foarte calmă şi nepăsătoare, că în acele zile Gângălăul şi Ţângălăul nu se înţeleg şi pace: „Gângălăul se grăbeşte şi Ţângălăul e cuprins de lenevie, mă străduiesc şi eu să-i împac după priceperea mea sărmană. Dacă găsiţi dumneavoastră alt chip de a-i împăca…” Aici, moş Timofte îşi isprăvea vorba. Directorii îl priveau nedumeriţi, încercau să-şi închipuie cam cine poate fi „Gângălăul” şi cine poate fi „Ţângălăul”, şi, mergând din presupunere în presupunere, ajungeau la cu totul alte idei, uitându-l, până una-alta, pe moş Timofte şi meteahna lui. Aşa se făcea, că de câte ori era numit un nou director, în clădirea cea mare, cu etaj, de pe colina din nordul oraşului, se discutau două lucruri de seamă. În adunarea generală a şcolii se vorbea mai ales despre vechimea liceului care străbătuse viteaz un veac întreg şi înainta la fel de viteaz prin altul, atingându-i sfertul, iar în cancelarie, între profesori şi noul director, se vorbea despre obiceiul neschimbat al lui moş Timofte de a dărui elevilor, în ultimele zile de şcoală, câteva minute în plus în fiecare recreaţie. Profesorii îşi înclinau capul ca în faţa unui decret vechi şi inviolabil, dar de fapt se gândeau, sau chiar îşi aminteau agitaţia şi nerăbdarea elevilor în acele zile… Şi îl lăsau pe moş Timofte în obiceiurile lui de demult.",,,,,,,,,,,,,,
"Altminteri, moş Timofte era omul cel mai corect şi mai cinstit care se pomenise pe acele meleaguri. În cei cincizeci de ani de când deretica prin şcoală nu lipsise şi nu întârziase niciodată de la slujba lui. De aceea pramatiile şi chiulangii nu-l aveau deloc la inimă. Pe cei care fugeau de la ore îi dibuia în orice ascunziş, oricât de iscusit ar fi fost ales, ceea ce nu era deloc uşor pentru că atât curtea, cât mai ales grădina şcolii, nesfârşită, ca orice spaţiu al amintirilor din copilărie, şi plină de pomi, de copaci uriaşi cu scorburi înfricoşătoare, de tufişuri, de tot felul de clădiri şi ziduri cărora nu li se prea ghicea rostul, ofereau ascunzişuri cu duiumul. Îi dibuia oriunde pe chiulangii şi-i scotea de chică la lumină, îi zgâlţâia rău şi-i ocăra năprasnic cu vorbele. În acele momente puteai să afli de la dânsul toţi oamenii de seamă pe care îi dăduse şcoala de-a lungul generaţiilor, dascăli, profesori, scriitori, artişti, savanţi, „oameni care au înţeles că şcoala este un cuib în care înveţi să te înalţi în văzduh, nu o mocirlă în care învaţă să se târască jigănii urâcioase”. Şi amintea numele de tristă celebritate ale unor borfaşi „care au început tot aşa ca voi, înşelând şcoala, ca apoi să-şi înşele părinţii, prietenii şi ţara”. Burzuluit, moş Timofte îşi freca apoi barba ascuţită, scuipa chiştocul de multă vreme stins şi-l apăsa furios cu călcâiul bocancului. Vocea parcă-i îngheţa. Orele care urmau erau ore grele, de parcă s-ar fi abătut nu ştiu ce aspre necazuri asupra lui. Nu-şi mai găsea locul, umbla fără rost şi bombănea fără încetare, şi nici chiar protejaţii lui nu puteau să-l îmbuneze. Numai dacă vreunul dintre chiulangiii scoşi la lumină venea la el să-şi ceară iertare, fără cea mai mică urmă de prefăcătorie, numai atunci se schimba moş Timofte. „Apoi de… Bodogănea bătrânul, nu-i rău… Dar numai vorbele nu ajung… „ cam atât spunea el, şi încă încruntat îşi găsea imediat ceva important de făcut. Inima însă îi bătea cu putere şi nu rareori încruntătura privirilor lui ascundea lacrimi de bucurie. Se puneau pe socoteala lui moş Timofte nu puţine întâmplări asemănătoare, care avuseseră un rol binefăcător în viaţa unor oameni cu care se mândrea şcoala.",,,,,,,,,,,,,,
"Mare lucru era însă când ţinea moş Timofte la cineva. Erau elevi, protejaţii lui, cărora le-ar fi deschis la orice oră din zi şi din noapte sălile de clasă, de laborator, sala de gimnastică, chiar dacă ar fi trebuit să trudească apoi ore întregi pentru a rândui lucrurile ca mai înainte. Câteodată intervenea cu sfaturile sale foarte chibzuite chiar în conflictele tăcute dintre profesori şi elevi, mai ales atunci când anumiţi elevi timizi, speriaţi cădeau în dizgraţia unui profesor. Grozav se pricepea bătrânul să culeagă asemenea „cazuri” şi ştia ca nimeni altul să deschidă inima puştilor înfricoşaţi, şi la fel de bine ştia să se facă ascultat de profesorii în pricină, îndreptând astfel, cu iscusinţa lui cinstită, situaţii care ar fi durat până la sfârşitul şcolii. Mai circula printre elevi vorba că, în anumite cazuri, cererile de reexaminare la vreun obiect erau mai sigur aprobate dacă se adresau verbal lui moş Timofte decât în scris direcţiunii.",,,,,,,,,,,,,,
"Dar, pentru a te bucura de preţuirea şi ajutorul lui moş Timofte, trebuia să fii un elev de „prima mână”, ce mai! Un model între modele. Şi dacă moşul te trecea printre protejaţii lui şi se întâmpla să ai vreun conflict cu pedagogii, îţi anticipa viitorul în faţa lor cu o siguranţă nemaipomenită. Era de ajuns să dea două, trei exemple de oameni mari care fuseseră cândva în situaţii asemănătoare, cu acel belşug de amănunte al sincerităţii şi nădejdii, şi profesorii începeau să privească altfel lucrurile şi să-şi cam schimbe părerile. Pentru că bătrânul vorbea deschis, adevărat, privea drept în ochi şi se pare că nu greşise niciodată când luase apărarea cuiva.",,,,,,,,,,,,,,
"În anul în care începe povestirea noastră, moş Timofte îşi avea, ca întotdeauna, protejaţi şi nesuferiţi. De bună seamă că numai întâmplarea hotărâse ca principalii săi favoriţi să fie nişte elevi dintr-a opta, care locuiau cu toţii în cartierul Cireşului şi pe care se obişnuise să-i numească „Cireşarii”. Şi tot întâmplarea făcuse ca printre „urâcioşi”, poate chiar în fruntea lor, să se afle doi şmecheri, tot dintr-a opta, pe care îi prinsese într-o dimineaţă ascunşi într-un şanţ acoperit de bălării, în timp ce colegii lor participau cu tot sufletul la ora de geologie. N-am putea spune însă adevărul întreg dacă n-am destăinui, de la bun început, că elevul pe care moş Timofte îl iubea cel mai mult, primul dintre favoriţii lui, era un prichindel dintr-a cincea, un şmecher fără seamăn în toată şcoala, poate chiar în istoria şcolii, dar căruia bătrânul nu-i arătase niciodată pe faţă dragostea. Mai degrabă îl muştruluia pentru năzbâtiile şi şotiile sale; niciodată nu-l alintase, nici măcar în glumă, cum făcea cu ceilalţi elevi la care ţinea. Dacă în cei cincizeci de ani de slujbă moş Timofte n-ar mai fi întâlnit un caz asemănător, dacă nu i s-ar mai fi întâmplat, cu vreo treizeci şi cinci de ani în urmă, să-i ticăie inima pentru un puşti nebunatic, care la fiecare pas făcea o năzdrăvănie, care în fiecare frază rostită strecura un ghimpe şi care acum era unul dintre oamenii de mare faimă ai ţării, e mai mult ca sigur că prichindelul cel şmecher, blond şi ciufulit, ar fi intrat în gloata nesuferiţilor. Dar cum moşneagul avea o memorie precisă a cazurilor şi un simţ al comparaţiei şi previziunii care nu dădea greş, s-a lăsat cu bună ştiinţă subjugat de apariţia veselă şi cuceritoare a lui Tic, trecându-l în rândul favoriţilor. Adică i-a acordat în sinea lui un mare viitor.",,,,,,,,,,,,,,
"Tic n-avea însă de unde să ştie aceasta şi de câte ori trecea pe lângă moş Timofte, dacă nu-şi ducea mâna la nas pentru a flutura din degete, atunci trăgea după sine un dulău imaginar, prins de un lanţ gros, pe care-l întreba chiar în clipa când trecea prin faţa gheretei bătrânului paznic:",,,,,,,,,,,,,,
